Analog Data (All Points),,,,,,
"Memphis TN, City of - Gayoso+Pump+Station",,,,,,
6 Oct 2025 - 11 Oct 2025,,,,,,

,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
Date/Time,Flow Rate (GPM),Wet Well Level (Feet),Wet Well Level - Sea Level (Feet),Pump 1 Effluent Flow (GPM),Pump 2 Effluent Flow (GPM),Pump 3 Effluent Flow (GPM)
9 Oct 2025 06:02:28 PM,"10,923",13.74,208.63,-13,-13,"10,845"
9 Oct 2025 06:00:28 PM,"11,050",13.67,208.63,-13,-13,"10,953"
9 Oct 2025 05:58:28 PM,"11,050",13.74,208.70,-13,-13,"11,060"
9 Oct 2025 05:56:28 PM,"11,369",13.96,208.70,-13,-13,"11,249"
9 Oct 2025 05:54:28 PM,"11,305",13.89,208.78,-13,-13,"11,302"
9 Oct 2025 05:52:28 PM,"11,432",13.89,208.78,-13,-13,"11,410"
9 Oct 2025 05:50:28 PM,"11,687",13.89,208.85,-13,-13,"11,652"
9 Oct 2025 05:48:28 PM,"11,623",13.96,208.85,-13,-13,"11,598"
9 Oct 2025 05:46:28 PM,"11,942",13.96,208.92,-13,-13,"11,840"
9 Oct 2025 05:44:28 PM,"12,133",14.03,208.92,-13,-13,"12,028"
9 Oct 2025 05:42:28 PM,"12,324",14.03,208.99,-13,-13,"12,136"
9 Oct 2025 05:40:28 PM,"12,324",14.03,208.99,-13,-13,"12,216"
9 Oct 2025 05:38:28 PM,"12,388",14.03,208.99,-13,-13,"12,351"
9 Oct 2025 05:36:28 PM,"12,579",14.18,208.99,-13,-13,"12,404"
9 Oct 2025 05:34:28 PM,"12,388",14.18,208.99,-13,-13,"12,351"
9 Oct 2025 05:32:28 PM,"12,388",14.03,208.92,-13,-13,"12,324"
9 Oct 2025 05:30:28 PM,"12,770",14.03,208.99,-13,-13,"12,673"
9 Oct 2025 05:28:54 PM,-287,14.55,209.50,-13,-13,-13
9 Oct 2025 05:28:28 PM,-287,14.62,209.42,-13,-13,-13
9 Oct 2025 05:26:28 PM,-287,14.48,209.42,-13,-13,-13
9 Oct 2025 05:24:28 PM,-287,14.48,209.35,-13,-13,-13
9 Oct 2025 05:22:28 PM,-287,14.48,209.28,-13,-13,-13
9 Oct 2025 05:20:28 PM,-287,14.48,209.28,-13,-13,-13
9 Oct 2025 05:18:28 PM,-287,14.26,209.28,-13,-13,-13
9 Oct 2025 05:16:28 PM,-223,14.33,209.21,-13,-13,-13
9 Oct 2025 05:14:28 PM,-287,14.33,209.21,-13,-13,-13
9 Oct 2025 05:12:28 PM,-287,14.26,209.21,-13,-13,-13
9 Oct 2025 05:10:28 PM,-287,14.26,209.06,-13,-13,-13
9 Oct 2025 05:08:28 PM,-287,14.03,208.99,-13,-13,-13
9 Oct 2025 05:06:28 PM,-287,13.96,208.85,-13,-13,-13
9 Oct 2025 05:04:28 PM,-287,13.89,208.78,-13,-13,-13
9 Oct 2025 05:02:28 PM,-287,13.96,208.85,-13,-13,-13
9 Oct 2025 05:00:28 PM,-223,14.18,208.99,-13,-13,-13
9 Oct 2025 04:58:28 PM,-287,14.26,209.14,-13,-13,-13
9 Oct 2025 04:56:28 PM,-287,13.96,208.85,-13,-13,-13
9 Oct 2025 04:55:30 PM,"1,560",13.67,208.56,-13,"1,976",-13
9 Oct 2025 04:54:28 PM,"10,031",13.52,208.49,-13,"9,985",-13
9 Oct 2025 04:52:28 PM,"10,031",13.52,208.49,-13,"10,066",-13
9 Oct 2025 04:50:28 PM,"10,286",13.67,208.49,-13,"10,254",-13
9 Oct 2025 04:48:28 PM,"10,286",13.67,208.56,-13,"10,281",-13
9 Oct 2025 04:46:28 PM,"10,350",13.67,208.56,-13,"10,335",-13
9 Oct 2025 04:44:28 PM,"10,477",13.74,208.63,-13,"10,415",-13
9 Oct 2025 04:42:28 PM,"10,477",13.67,208.63,-13,"10,469",-13
9 Oct 2025 04:40:28 PM,"10,795",13.74,208.63,-13,"10,657",-13
9 Oct 2025 04:38:28 PM,"10,795",13.74,208.70,-13,"10,604",-13
9 Oct 2025 04:36:28 PM,"10,795",13.74,208.70,-13,"10,738",-13
9 Oct 2025 04:34:28 PM,"11,050",13.96,208.78,-13,"10,980",-13
9 Oct 2025 04:32:28 PM,"11,114",13.89,208.78,-13,"11,060",-13
9 Oct 2025 04:30:28 PM,"10,923",13.89,208.78,-13,"10,899",-13
9 Oct 2025 04:28:28 PM,"11,305",14.03,208.85,-13,"11,195",-13
9 Oct 2025 04:26:28 PM,"11,687",14.03,208.85,-13,"11,571",-13
9 Oct 2025 04:24:28 PM,"11,687",14.03,208.92,-13,"11,517",-13
9 Oct 2025 04:22:28 PM,"11,814",14.03,208.92,-13,"11,652",-13
9 Oct 2025 04:20:28 PM,"11,560",13.96,208.92,-13,"11,517",-13
9 Oct 2025 04:18:28 PM,"11,878",14.18,208.99,-13,"11,759",-13
9 Oct 2025 04:16:28 PM,"11,878",14.18,209.06,-13,"11,706",-13
9 Oct 2025 04:14:28 PM,"11,942",14.18,209.06,-13,"11,840",-13
9 Oct 2025 04:12:28 PM,"12,324",14.26,209.06,-13,"12,243",-13
9 Oct 2025 04:10:28 PM,"12,324",14.26,209.14,-13,"12,162",-13
9 Oct 2025 04:08:28 PM,"12,388",14.26,209.14,-13,"12,243",-13
9 Oct 2025 04:06:28 PM,"12,324",14.18,209.06,-13,"12,109",-13
9 Oct 2025 04:04:28 PM,"11,623",14.03,208.99,-13,"11,571",-13
9 Oct 2025 04:02:28 PM,"11,942",14.18,208.99,-13,"11,867",-13
9 Oct 2025 04:00:28 PM,"1,815",14.62,209.42,-13,"1,572",-13
9 Oct 2025 04:00:18 PM,-223,14.62,209.50,-13,-13,-13
9 Oct 2025 03:58:28 PM,-287,14.55,209.42,-13,-13,-13
9 Oct 2025 03:56:28 PM,-287,14.48,209.35,-13,-13,-13
9 Oct 2025 03:54:28 PM,-350,14.48,209.35,-13,-13,-13
9 Oct 2025 03:52:28 PM,-223,14.48,209.35,-13,-13,-13
9 Oct 2025 03:50:28 PM,-223,14.48,209.35,-13,-13,-13
9 Oct 2025 03:48:28 PM,-287,14.33,209.28,-13,-13,-13
