Analog Data (All Points),,,,,,
"Memphis TN, City of - Gayoso+Pump+Station",,,,,,
31 Oct 2025 - 31 Oct 2025,,,,,,

,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
Date/Time,Flow Rate (GPM),Wet Well Level (Feet),Wet Well Level - Sea Level (Feet),Pump 1 Effluent Flow (GPM),Pump 2 Effluent Flow (GPM),Pump 3 Effluent Flow (GPM)
31 Oct 2025 11:58:27 PM,-223,14.62,209.42,-13,-13,-13
31 Oct 2025 11:56:27 PM,-223,14.55,209.35,-13,-13,-13
31 Oct 2025 11:54:27 PM,-223,14.48,209.28,-13,-13,-13
31 Oct 2025 11:52:27 PM,-223,14.48,209.28,-13,-13,-13
31 Oct 2025 11:50:27 PM,-223,14.48,209.28,-13,-13,-13
31 Oct 2025 11:48:27 PM,-223,14.48,209.28,-13,-13,-13
31 Oct 2025 11:46:27 PM,-223,14.33,209.21,-13,-13,-13
31 Oct 2025 11:44:27 PM,-223,14.33,209.14,-13,-13,-13
31 Oct 2025 11:42:27 PM,-287,14.26,209.06,-13,-13,-13
31 Oct 2025 11:40:27 PM,-223,14.03,208.92,-13,-13,-13
31 Oct 2025 11:38:27 PM,-287,13.96,208.85,-13,-13,-13
31 Oct 2025 11:36:27 PM,-223,13.96,208.85,-13,-13,-13
31 Oct 2025 11:34:27 PM,-287,14.03,208.92,-13,-13,-13
31 Oct 2025 11:32:27 PM,-223,14.26,209.06,-13,-13,-13
31 Oct 2025 11:30:27 PM,-223,14.26,209.14,-13,-13,-13
31 Oct 2025 11:28:27 PM,-287,13.96,208.78,-13,-13,-13
31 Oct 2025 11:27:49 PM,"1,624",13.74,208.56,-13,"1,761",-13
31 Oct 2025 11:26:27 PM,"10,795",13.52,208.49,-13,"10,711",-13
31 Oct 2025 11:24:27 PM,"10,795",13.67,208.49,-13,"10,711",-13
31 Oct 2025 11:22:27 PM,"10,859",13.67,208.56,-13,"10,765",-13
31 Oct 2025 11:20:27 PM,"11,178",13.74,208.56,-13,"11,034",-13
31 Oct 2025 11:18:27 PM,"11,369",13.74,208.63,-13,"11,195",-13
