Analog Data (5 min Samples),,,,,,
"Memphis TN, City of - Gayoso+Pump+Station",,,,,,
5 Nov 2025 - 5 Nov 2025,,,,,,

,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
Date/Time,Flow Rate (GPM),Wet Well Level (Feet),Wet Well Level - Sea Level (Feet),Pump 1 Effluent Flow (GPM),Pump 2 Effluent Flow (GPM),Pump 3 Effluent Flow (GPM)
5 Nov 2025 11:55:00 PM,-287,14.33,209.28,-13,-13,-13
5 Nov 2025 11:50:00 PM,-223,14.48,209.21,-13,-13,-13
5 Nov 2025 11:45:00 PM,-223,14.26,209.14,-13,-13,-13
5 Nov 2025 11:40:00 PM,-287,13.89,208.78,-13,-13,-13
5 Nov 2025 11:35:00 PM,-223,14.18,208.92,-13,-13,-13
5 Nov 2025 11:30:00 PM,-287,13.96,208.85,-13,-13,-13
5 Nov 2025 11:25:00 PM,"10,795",13.67,208.56,-13,"10,657",-13
5 Nov 2025 11:20:00 PM,"11,114",13.89,208.63,-13,"11,034",-13
5 Nov 2025 11:15:00 PM,"11,305",13.74,208.70,-13,"11,222",-13
5 Nov 2025 11:10:00 PM,"11,687",13.96,208.78,-13,"11,652",-13
5 Nov 2025 11:05:00 PM,"11,878",13.96,208.92,-13,"11,759",-13
5 Nov 2025 11:00:00 PM,"12,579",14.18,208.99,-13,"12,485",-13
5 Nov 2025 10:55:00 PM,"12,451",14.03,208.99,-13,"12,378",-13
5 Nov 2025 10:50:00 PM,"12,579",14.26,208.99,-13,"12,485",-13
5 Nov 2025 10:45:00 PM,-287,14.48,209.42,-13,-13,-13
5 Nov 2025 10:40:00 PM,-223,14.48,209.28,-13,-13,-13
5 Nov 2025 10:35:00 PM,-287,14.33,209.21,-13,-13,-13
5 Nov 2025 10:30:00 PM,-223,14.26,209.14,-13,-13,-13
5 Nov 2025 10:25:00 PM,-223,14.03,208.92,-13,-13,-13
5 Nov 2025 10:20:00 PM,-287,14.03,208.92,-13,-13,-13
5 Nov 2025 10:15:00 PM,-223,14.26,209.06,-13,-13,-13
5 Nov 2025 10:10:00 PM,"9,776",13.67,208.56,"9,770",-13,-13
5 Nov 2025 10:05:00 PM,"10,031",13.74,208.56,"9,958",-13,-13
5 Nov 2025 10:00:00 PM,"10,286",13.74,208.70,"10,227",-13,-13
5 Nov 2025 09:55:00 PM,"10,477",13.74,208.78,"10,415",-13,-13
5 Nov 2025 09:50:00 PM,"11,050",14.03,208.85,"10,872",-13,-13
5 Nov 2025 09:45:00 PM,"11,369",14.03,208.92,"11,195",-13,-13
5 Nov 2025 09:40:00 PM,"11,560",14.26,208.99,"11,410",-13,-13
5 Nov 2025 09:35:00 PM,"11,814",14.33,209.06,"11,706",-13,-13
5 Nov 2025 09:30:00 PM,"11,560",14.26,209.06,"11,464",-13,-13
5 Nov 2025 09:25:00 PM,"11,942",14.26,209.06,"11,813",-13,-13
5 Nov 2025 09:20:00 PM,-223,14.55,209.35,-13,-13,-13
5 Nov 2025 09:15:00 PM,-287,14.48,209.28,-13,-13,-13
5 Nov 2025 09:10:00 PM,-223,14.33,209.21,-13,-13,-13
5 Nov 2025 09:05:00 PM,-223,14.26,209.06,-13,-13,-13
5 Nov 2025 09:00:00 PM,-287,13.96,208.78,-13,-13,-13
5 Nov 2025 08:55:00 PM,-223,14.18,208.92,-13,-13,-13
5 Nov 2025 08:50:00 PM,"10,286",13.67,208.49,-13,-13,"10,254"
5 Nov 2025 08:45:00 PM,"10,541",13.67,208.56,-13,-13,"10,523"
5 Nov 2025 08:40:00 PM,"10,923",13.89,208.63,-13,-13,"10,819"
5 Nov 2025 08:35:00 PM,"11,178",13.74,208.70,-13,-13,"11,141"
5 Nov 2025 08:30:00 PM,"11,560",13.89,208.85,-13,-13,"11,464"
5 Nov 2025 08:25:00 PM,"11,623",13.96,208.92,-13,-13,"11,625"
5 Nov 2025 08:20:00 PM,"12,069",14.18,208.99,-13,-13,"11,947"
5 Nov 2025 08:15:00 PM,"12,324",14.26,209.06,-13,-13,"12,162"
5 Nov 2025 08:10:00 PM,"12,388",14.18,208.99,-13,-13,"12,216"
5 Nov 2025 08:05:00 PM,-287,14.62,209.50,-13,-13,-13
5 Nov 2025 08:00:00 PM,-287,14.55,209.35,-13,-13,-13
5 Nov 2025 07:55:00 PM,-223,14.48,209.28,-13,-13,-13
5 Nov 2025 07:50:00 PM,-223,14.33,209.21,-13,-13,-13
5 Nov 2025 07:45:00 PM,-223,14.18,208.99,-13,-13,-13
5 Nov 2025 07:40:00 PM,-287,14.03,208.92,-13,-13,-13
5 Nov 2025 07:35:00 PM,-223,14.26,209.06,-13,-13,-13
5 Nov 2025 07:30:00 PM,"10,859",13.67,208.49,-13,"10,792",-13
5 Nov 2025 07:25:00 PM,"10,923",13.67,208.56,-13,"10,872",-13
5 Nov 2025 07:20:00 PM,"11,369",13.74,208.63,-13,"11,383",-13
5 Nov 2025 07:15:00 PM,"11,623",13.96,208.70,-13,"11,437",-13
5 Nov 2025 07:10:00 PM,"11,878",13.96,208.85,-13,"11,706",-13
5 Nov 2025 07:05:00 PM,"12,197",14.03,208.92,-13,"12,028",-13
5 Nov 2025 07:00:00 PM,"12,388",14.18,208.99,-13,"12,270",-13
5 Nov 2025 06:55:00 PM,"12,579",14.26,209.06,-13,"12,378",-13
5 Nov 2025 06:50:00 PM,"12,579",14.26,208.99,-13,"12,324",-13
5 Nov 2025 06:45:00 PM,-287,14.77,209.50,-13,-13,-13
5 Nov 2025 06:40:00 PM,-223,14.55,209.35,-13,-13,-13
5 Nov 2025 06:35:00 PM,-223,14.48,209.28,-13,-13,-13
5 Nov 2025 06:30:00 PM,-223,14.33,209.21,-13,-13,-13
5 Nov 2025 06:25:00 PM,-287,14.03,208.92,-13,-13,-13
5 Nov 2025 06:20:00 PM,-287,14.03,208.92,-13,-13,-13
5 Nov 2025 06:15:00 PM,-287,14.26,209.14,-13,-13,-13
5 Nov 2025 06:10:00 PM,"9,840",13.52,208.49,"9,878",-13,-13
5 Nov 2025 06:05:00 PM,"10,095",13.74,208.56,"10,012",-13,-13
5 Nov 2025 06:00:00 PM,"10,350",13.89,208.63,"10,254",-13,-13
5 Nov 2025 05:55:00 PM,"10,541",13.89,208.70,"10,389",-13,-13
5 Nov 2025 05:50:00 PM,"10,795",13.89,208.78,"10,630",-13,-13
5 Nov 2025 05:45:00 PM,"10,859",14.03,208.85,"10,711",-13,-13
5 Nov 2025 05:40:00 PM,"11,178",14.03,208.92,"11,087",-13,-13
5 Nov 2025 05:35:00 PM,"11,432",14.18,208.99,"11,302",-13,-13
5 Nov 2025 05:30:00 PM,"11,687",14.26,209.06,"11,544",-13,-13
5 Nov 2025 05:25:00 PM,"11,432",14.26,209.06,"11,383",-13,-13
5 Nov 2025 05:20:00 PM,-350,14.55,209.50,-13,-13,-13
5 Nov 2025 05:15:00 PM,-287,14.48,209.35,-13,-13,-13
5 Nov 2025 05:10:00 PM,-223,14.48,209.28,-13,-13,-13
5 Nov 2025 05:05:00 PM,-223,14.48,209.21,-13,-13,-13
5 Nov 2025 05:00:00 PM,-223,14.03,208.92,-13,-13,-13
5 Nov 2025 04:55:00 PM,-287,13.89,208.78,-13,-13,-13
5 Nov 2025 04:50:00 PM,-287,14.26,209.14,-13,-13,-13
5 Nov 2025 04:45:00 PM,"10,541",13.67,208.49,-13,-13,"10,415"
5 Nov 2025 04:40:00 PM,"10,859",13.74,208.56,-13,-13,"10,738"
5 Nov 2025 04:35:00 PM,"11,050",13.74,208.63,-13,-13,"10,953"
5 Nov 2025 04:30:00 PM,"11,369",13.96,208.78,-13,-13,"11,222"
5 Nov 2025 04:25:00 PM,"11,560",13.96,208.78,-13,-13,"11,437"
5 Nov 2025 04:20:00 PM,"11,942",14.03,208.92,-13,-13,"11,894"
5 Nov 2025 04:15:00 PM,"12,197",14.18,208.99,-13,-13,"12,162"
5 Nov 2025 04:10:00 PM,"12,579",14.26,209.06,-13,-13,"12,458"
5 Nov 2025 04:05:00 PM,"12,388",14.18,208.92,-13,-13,"12,243"
5 Nov 2025 04:00:00 PM,-287,14.48,209.42,-13,-13,-13
5 Nov 2025 03:55:00 PM,-287,14.48,209.35,-13,-13,-13
5 Nov 2025 03:50:00 PM,-287,14.33,209.21,-13,-13,-13
5 Nov 2025 03:45:00 PM,-223,14.33,209.14,-13,-13,-13
5 Nov 2025 03:40:00 PM,-223,13.96,208.85,-13,-13,-13
5 Nov 2025 03:35:00 PM,-223,14.26,209.06,-13,-13,-13
5 Nov 2025 03:30:00 PM,"10,604",13.52,208.49,-13,"10,657",-13
5 Nov 2025 03:25:00 PM,"10,795",13.52,208.56,-13,"10,845",-13
5 Nov 2025 03:20:00 PM,"11,178",13.89,208.63,-13,"11,034",-13
5 Nov 2025 03:15:00 PM,"11,432",13.89,208.70,-13,"11,329",-13
5 Nov 2025 03:10:00 PM,"11,432",13.89,208.78,-13,"11,329",-13
5 Nov 2025 03:05:00 PM,"11,814",13.96,208.85,-13,"11,625",-13
5 Nov 2025 03:00:00 PM,"11,942",14.03,208.92,-13,"11,840",-13
5 Nov 2025 02:55:00 PM,"12,133",14.18,208.99,-13,"12,001",-13
5 Nov 2025 02:50:00 PM,"12,451",14.26,209.06,-13,"12,243",-13
5 Nov 2025 02:45:00 PM,"12,451",14.18,208.99,-13,"12,351",-13
5 Nov 2025 02:40:00 PM,-223,14.62,209.50,-13,-13,-13
5 Nov 2025 02:35:00 PM,-223,14.55,209.35,-13,-13,-13
5 Nov 2025 02:30:00 PM,-223,14.48,209.28,-13,-13,-13
5 Nov 2025 02:25:00 PM,-287,14.33,209.21,-13,-13,-13
5 Nov 2025 02:20:00 PM,-159,14.03,208.92,-13,-13,-13
5 Nov 2025 02:15:00 PM,-159,14.03,208.85,-13,-13,-13
5 Nov 2025 02:10:00 PM,-223,14.18,208.99,-13,-13,-13
5 Nov 2025 02:05:00 PM,"9,776",13.52,208.49,"9,717",-13,-13
5 Nov 2025 02:00:00 PM,"10,222",13.52,208.56,"10,147",-13,-13
5 Nov 2025 01:55:00 PM,"10,350",13.89,208.63,"10,281",-13,-13
5 Nov 2025 01:50:00 PM,"10,604",13.96,208.70,"10,469",-13,-13
5 Nov 2025 01:45:00 PM,"10,604",13.89,208.78,"10,604",-13,-13
5 Nov 2025 01:40:00 PM,"11,050",13.96,208.85,"10,926",-13,-13
5 Nov 2025 01:35:00 PM,"11,178",14.03,208.92,"11,060",-13,-13
5 Nov 2025 01:30:00 PM,"11,687",14.26,208.99,"11,491",-13,-13
5 Nov 2025 01:25:00 PM,"11,623",14.18,209.06,"11,517",-13,-13
5 Nov 2025 01:20:00 PM,"11,814",14.26,209.06,"11,598",-13,-13
5 Nov 2025 01:15:00 PM,"11,687",14.26,209.06,"11,544",-13,-13
5 Nov 2025 01:10:00 PM,-223,14.62,209.42,-13,-13,-13
5 Nov 2025 01:05:00 PM,-223,14.48,209.35,-13,-13,-13
5 Nov 2025 01:00:00 PM,-223,14.48,209.28,-13,-13,-13
5 Nov 2025 12:55:00 PM,-223,14.33,209.14,-13,-13,-13
