Analog Data (All Points),,,,,,
"Memphis TN, City of - Gayoso+Pump+Station",,,,,,
6 Oct 2025 - 11 Oct 2025,,,,,,
,,,,,,
,Channel 1,Channel 2,Channel 3,Channel 4,Channel 5,Channel 6
Date/Time,Flow Rate (GPM),Wet Well Level (Feet),Wet Well Level - Sea Level (Feet),Pump 1 Effluent Flow (GPM),Pump 2 Effluent Flow (GPM),Pump 3 Effluent Flow (GPM)
10/10/2025 13:34,-223,14.48,209.21,-13,-13,-13
10/10/2025 13:32,-287,14.26,209.14,-13,-13,-13
10/10/2025 13:30,-287,14.03,208.99,-13,-13,-13
10/10/2025 13:28,-223,13.96,208.85,-13,-13,-13
10/10/2025 13:26,-287,13.74,208.78,-13,-13,-13
10/10/2025 13:24,-287,13.96,208.78,-13,-13,-13
10/10/2025 13:22,-223,14.18,208.99,-13,-13,-13
10/10/2025 13:20,-287,14.33,209.14,-13,-13,-13
10/10/2025 13:18,-223,14.18,208.99,-13,-13,-13
10/10/2025 13:16,"1,688",13.74,208.56,-13,-13,"2,594"
10/10/2025 13:16,"10,350",13.52,208.49,-13,-13,"10,308"
10/10/2025 13:14,"10,477",13.52,208.49,-13,-13,"10,389"
10/10/2025 13:12,"10,541",13.67,208.49,-13,-13,"10,442"
10/10/2025 13:10,"10,604",13.67,208.56,-13,-13,"10,550"
10/10/2025 13:08,"10,795",13.74,208.56,-13,-13,"10,765"
10/10/2025 13:06,"10,859",13.89,208.63,-13,-13,"10,845"
10/10/2025 13:04,"11,114",13.74,208.63,-13,-13,"10,953"
10/10/2025 13:02,"11,178",13.74,208.7,-13,-13,"11,034"
10/10/2025 13:00,"11,305",13.89,208.7,-13,-13,"11,222"
10/10/2025 12:58,"11,432",13.96,208.78,-13,-13,"11,302"
10/10/2025 12:56,"11,560",13.96,208.78,-13,-13,"11,410"
10/10/2025 12:54,"11,560",13.96,208.85,-13,-13,"11,491"
10/10/2025 12:52,"11,687",14.03,208.85,-13,-13,"11,571"
10/10/2025 12:50,"11,814",14.03,208.92,-13,-13,"11,652"
10/10/2025 12:48,"11,942",14.03,208.92,-13,-13,"11,840"
10/10/2025 12:46,"12,133",14.18,208.99,-13,-13,"12,055"
10/10/2025 12:44,"12,324",14.03,208.99,-13,-13,"12,216"
10/10/2025 12:42,"12,388",14.18,209.06,-13,-13,"12,297"
10/10/2025 12:40,"12,579",14.26,209.06,-13,-13,"12,378"
10/10/2025 12:38,"12,706",14.18,209.06,-13,-13,"12,619"
10/10/2025 12:36,"12,770",14.26,209.06,-13,-13,"12,700"
10/10/2025 12:34,"12,706",14.18,208.99,-13,-13,"12,566"
10/10/2025 12:32,"12,579",14.18,208.92,-13,-13,"12,324"
10/10/2025 12:30,"12,897",14.18,208.99,-13,-13,"12,781"
10/10/2025 12:28,-223,14.55,209.5,-13,-13,-13
10/10/2025 12:28,-223,14.62,209.5,-13,-13,-13
