,,\I-0300A.UNIT1@NET1\,\I-5005A.UNIT1@NET1\,\FI-405/415.UNIT1@NET1\
Date,,VALUE(\I-0300A.UNIT1@NET1\),VALUE(\I-5005A.UNIT1@NET1\),VALUE(\FI-405/415.UNIT1@NET1\)
8/28/2024,2024-08-28T09:00:00,183.350647,66.37935638,50.05089951
8/28/2024,2024-08-28T10:00:00,183.4563599,69.45719147,55.88133621
8/28/2024,2024-08-28T11:00:00,183.8183289,79.15999603,54.39126205
8/28/2024,2024-08-28T12:00:00,183.5950317,73.52297211,61.29711533
8/28/2024,2024-08-28T13:00:00,183.8615265,80.03219604,56.73838806
8/28/2024,2024-08-28T14:00:00,183.8672791,80.20818329,67.05921173
8/28/2024,2024-08-28T15:00:00,183.7221375,75.78993225,60.25
8/28/2024,2024-08-28T16:00:00,183.7128143,75.83073425,64.38641357
8/28/2024,2024-08-28T17:00:00,183.9792786,81.84603119,60.23622894
8/28/2024,2024-08-28T18:00:00,183.5857239,105.1140594,67.9601059
8/28/2024,2024-08-28T19:00:00,182.834137,73.81924438,61.80223846
8/28/2024,2024-08-28T20:00:00,182.9331055,83.97957611,68.64672852
8/28/2024,2024-08-28T21:00:00,182.8390808,70.97742462,61.02319717
8/28/2024,2024-08-28T22:00:00,182.9105072,86.2207489,69.24074554
8/28/2024,2024-08-28T23:00:00,182.8431549,73.88254547,62.3156929
8/29/2024,2024-08-29T00:00:00,183.0060577,90.81080627,71.07266235
8/29/2024,2024-08-29T01:00:00,182.8717346,78.35083771,67.05413055
8/29/2024,2024-08-29T02:00:00,182.9551239,89.91352844,63.45771408
8/29/2024,2024-08-29T03:00:00,182.8456573,75.34547424,68.33680725
8/29/2024,2024-08-29T04:00:00,182.8799591,79.1683197,59.87650681
8/29/2024,2024-08-29T05:00:00,182.824585,74.4847641,64.09456635
8/29/2024,2024-08-29T06:00:00,183.193573,61.07038498,51.85487366
8/29/2024,2024-08-29T07:00:00,183.4883423,69.66526794,54.61618042
8/29/2024,2024-08-29T08:00:00,183.1570129,59.27597046,48.72654724
8/29/2024,2024-08-29T09:00:00,183.4975586,70.73583984,52.1640625
8/29/2024,2024-08-29T10:00:00,183.1817017,61.2990303,49.26678085
8/29/2024,2024-08-29T11:00:00,183.7276001,76.16298676,52.00858307
8/29/2024,2024-08-29T12:00:00,183.3904266,68.35051727,55.03829575
8/29/2024,2024-08-29T13:00:00,183.8990479,80.07607269,71.5
8/29/2024,2024-08-29T14:00:00,183.3528748,95.20506287,59.84789276
8/29/2024,2024-08-29T15:00:00,182.9067688,82.06987,59.57411575
8/29/2024,2024-08-29T16:00:00,182.8336639,73.94393921,101.3226471
8/29/2024,2024-08-29T17:00:00,182.8670959,75.59645081,53.4550972
8/29/2024,2024-08-29T18:00:00,182.8445892,75.50144958,63.44298553
8/29/2024,2024-08-29T19:00:00,182.8851776,78.79496002,55.00924301
8/29/2024,2024-08-29T20:00:00,182.850235,77.88560486,66.0789566
8/29/2024,2024-08-29T21:00:00,182.8600006,73.4332428,57.04518127
8/29/2024,2024-08-29T22:00:00,182.8936005,81.36187744,66.125
8/29/2024,2024-08-29T23:00:00,182.8145905,71.50320435,59.97676468
8/30/2024,2024-08-30T00:00:00,182.8987427,81.5853653,68.62628937
8/30/2024,2024-08-30T01:00:00,182.8016663,71.18988037,61.7209549
8/30/2024,2024-08-30T02:00:00,182.9230194,83.41698456,68.11101532
8/30/2024,2024-08-30T03:00:00,182.7535858,67.14363861,60.05292511
8/30/2024,2024-08-30T04:00:00,182.886673,78.65033722,62.97478867
8/30/2024,2024-08-30T05:00:00,182.7143555,63.48420334,55.18973923
8/30/2024,2024-08-30T06:00:00,183.53125,71.80950165,51.76470566
8/30/2024,2024-08-30T07:00:00,182.97052,55.76341629,49.133255
8/30/2024,2024-08-30T08:00:00,183.4038391,69.03076935,49.69340515
8/30/2024,2024-08-30T09:00:00,183.0249481,56.99809647,68.41409302
8/30/2024,2024-08-30T10:00:00,183.0576019,59.00197983,50.49046326
8/30/2024,2024-08-30T11:00:00,183.6745148,75.39717865,49.72107315
